,Behaviour,Round,total100,total90,total75,total50
13,FRONTIER_ASSIST,1,0.03301650825412707,0.03251625812906453,0.02001000500250125,0.013006503251625813
14,SCOUT,1,0.03251625812906453,0.032016008004002,0.021010505252626314,0.014007003501750876
15,FRONTIER_CENTRAL_GREEDY,1,0.030015007503751877,0.029514757378689346,0.01950975487743872,0.013006503251625813
16,ZONE_SPLIT,1,0.1520760380190095,0.15157578789394696,0.09054527263631816,0.01950975487743872
17,ZONE_VORONOI,1,0.03151575787893947,0.031015507753876938,0.017508754377188594,0.013006503251625813
18,WANDERING,2,0.4487243621810905,0.448224112056028,0.1325662831415708,0.0815407703851926
19,GREEDY,2,0.1890945472736368,0.18859429714857429,0.07703851925962982,0.02801400700350175
20,FRONTIER,2,0.02301150575287644,0.022511255627813906,0.016008004002001,0.01150575287643822
21,GREEDY_FRONTIER,2,0.030015007503751877,0.029514757378689346,0.022011005502751375,0.015507753876938469
22,FRONTIER_ASSIST,2,0.02301150575287644,0.022511255627813906,0.016008004002001,0.01150575287643822
23,SCOUT,2,0.031015507753876938,0.030515257628814407,0.022011005502751375,0.015507753876938469
24,FRONTIER_CENTRAL_GREEDY,2,0.02301150575287644,0.022511255627813906,0.016508254127063533,0.01250625312656328
25,ZONE_SPLIT,2,0.09904952476238119,0.09854927463731866,0.08404202101050526,0.02051025512756378
26,ZONE_VORONOI,2,0.03601800900450225,0.03551775887943972,0.01950975487743872,0.013006503251625813
27,WANDERING,3,0.40820410205102553,0.407703851925963,0.1585792896448224,0.10355177588794397
28,GREEDY,3,0.05002501250625312,0.04952476238119059,0.03601800900450225,0.021510755377688845
29,FRONTIER,3,0.029014507253626812,0.028514257128564282,0.018509254627313655,0.01150575287643822
30,GREEDY_FRONTIER,3,0.03251625812906453,0.032016008004002,0.022011005502751375,0.015507753876938469
31,FRONTIER_ASSIST,3,0.029014507253626812,0.028514257128564282,0.018509254627313655,0.01150575287643822
32,SCOUT,3,0.031015507753876938,0.030515257628814407,0.02001000500250125,0.014007003501750876
33,FRONTIER_CENTRAL_GREEDY,3,0.0240120060030015,0.02351175587793897,0.01950975487743872,0.01250625312656328
34,ZONE_SPLIT,3,0.24512256128064033,0.24462231115557778,0.22461230615307654,0.0560280140070035
35,ZONE_VORONOI,3,0.02501250625312656,0.02451225612806403,0.018009004502251125,0.01250625312656328
36,WANDERING,4,0.4592296148074037,0.45872936468234116,0.144072036018009,0.06853426713356678
