num,layout,Method,Coverage 50%,Coverage 75%,Coverage 90%,Coverage 100%
5,MAZE,GREEDY_FRONTIER,100.00%,100.00%,100.00%,96.67%
5,MAZE,FRONTIER_ASSIST,100.00%,100.00%,100.00%,99.05%
5,MAZE,SCOUT,100.00%,99.76%,99.76%,98.81%
5,MAZE,FRONTIER_CENTRAL_GREEDY,100.00%,100.00%,100.00%,91.43%
5,MAZE,ZONE_SPLIT,100.00%,100.00%,99.05%,90.24%
5,MAZE,ZONE_VORONOI,100.00%,100.00%,100.00%,100.00%
5,O_SHAPE,WANDERING,100.00%,99.09%,95.45%,60.45%
5,O_SHAPE,GREEDY,100.00%,100.00%,99.32%,92.50%
5,O_SHAPE,FRONTIER,100.00%,100.00%,100.00%,98.86%
5,O_SHAPE,GREEDY_FRONTIER,100.00%,100.00%,100.00%,96.82%
5,O_SHAPE,FRONTIER_ASSIST,100.00%,100.00%,100.00%,99.09%
5,O_SHAPE,SCOUT,100.00%,99.77%,99.77%,98.86%
5,O_SHAPE,FRONTIER_CENTRAL_GREEDY,100.00%,100.00%,100.00%,91.82%
5,O_SHAPE,ZONE_SPLIT,100.00%,100.00%,99.09%,90.68%
5,O_SHAPE,ZONE_VORONOI,100.00%,100.00%,100.00%,100.00%
5,U_SHAPE,WANDERING,100.00%,99.13%,95.65%,59.35%
5,U_SHAPE,GREEDY,100.00%,100.00%,99.35%,92.83%
5,U_SHAPE,FRONTIER,100.00%,100.00%,100.00%,98.91%
5,U_SHAPE,GREEDY_FRONTIER,100.00%,100.00%,100.00%,96.74%
5,U_SHAPE,FRONTIER_ASSIST,100.00%,100.00%,100.00%,99.13%
5,U_SHAPE,SCOUT,100.00%,99.78%,99.78%,98.91%
5,U_SHAPE,FRONTIER_CENTRAL_GREEDY,100.00%,100.00%,100.00%,92.17%
5,U_SHAPE,ZONE_SPLIT,100.00%,100.00%,99.13%,91.09%
5,U_SHAPE,ZONE_VORONOI,100.00%,100.00%,100.00%,100.00%
5,I_SHAPE,WANDERING,100.00%,99.17%,95.62%,58.33%
5,I_SHAPE,GREEDY,100.00%,100.00%,99.38%,93.12%
5,I_SHAPE,FRONTIER,100.00%,100.00%,100.00%,98.96%
5,I_SHAPE,GREEDY_FRONTIER,100.00%,100.00%,100.00%,96.88%
5,I_SHAPE,FRONTIER_ASSIST,100.00%,100.00%,100.00%,99.17%
5,I_SHAPE,SCOUT,100.00%,99.79%,99.79%,98.96%
5,I_SHAPE,FRONTIER_CENTRAL_GREEDY,100.00%,100.00%,100.00%,92.50%
5,I_SHAPE,ZONE_SPLIT,100.00%,100.00%,99.17%,91.25%
5,I_SHAPE,ZONE_VORONOI,100.00%,100.00%,100.00%,100.00%
5,ROOM,WANDERING,100.00%,98.60%,93.20%,56.00%
5,ROOM,GREEDY,100.00%,100.00%,99.20%,91.40%
5,ROOM,FRONTIER,100.00%,100.00%,100.00%,99.00%
5,ROOM,GREEDY_FRONTIER,100.00%,100.00%,100.00%,96.80%
5,ROOM,FRONTIER_ASSIST,100.00%,100.00%,100.00%,99.20%
5,ROOM,SCOUT,100.00%,99.80%,99.80%,99.00%
5,ROOM,FRONTIER_CENTRAL_GREEDY,100.00%,100.00%,100.00%,92.20%
5,ROOM,ZONE_SPLIT,100.00%,100.00%,99.20%,91.60%
5,ROOM,ZONE_VORONOI,100.00%,100.00%,100.00%,100.00%
5,HOUSE,WANDERING,100.00%,98.65%,91.92%,53.85%
5,HOUSE,GREEDY,100.00%,99.62%,98.65%,90.38%
5,HOUSE,FRONTIER,100.00%,100.00%,100.00%,99.04%
5,HOUSE,GREEDY_FRONTIER,100.00%,100.00%,100.00%,96.92%
5,HOUSE,FRONTIER_ASSIST,100.00%,100.00%,100.00%,99.23%
5,HOUSE,SCOUT,100.00%,99.81%,99.81%,99.04%
5,HOUSE,FRONTIER_CENTRAL_GREEDY,100.00%,100.00%,100.00%,92.50%
5,HOUSE,ZONE_SPLIT,100.00%,100.00%,99.23%,91.92%
5,HOUSE,ZONE_VORONOI,100.00%,100.00%,100.00%,100.00%
5,CAVE,WANDERING,100.00%,97.78%,88.70%,51.85%
5,CAVE,GREEDY,100.00%,99.44%,98.15%,88.52%
5,CAVE,FRONTIER,100.00%,100.00%,100.00%,98.70%
5,CAVE,GREEDY_FRONTIER,100.00%,100.00%,100.00%,97.04%
5,CAVE,FRONTIER_ASSIST,100.00%,100.00%,100.00%,98.89%
5,CAVE,SCOUT,100.00%,99.81%,99.81%,99.07%
5,CAVE,FRONTIER_CENTRAL_GREEDY,100.00%,100.00%,100.00%,91.85%
5,CAVE,ZONE_SPLIT,100.00%,100.00%,99.26%,92.22%
5,CAVE,ZONE_VORONOI,100.00%,100.00%,100.00%,100.00%
